Episode,Epsilon,Action Type,Score,Avg Score,Position
000,1.0000,random,-200.00,-200.00,-0.41
001,0.9900,random,-200.00,-200.00,-0.59
002,0.9801,random,-200.00,-200.00,-0.46
003,0.9703,random,-200.00,-200.00,-0.63
004,0.9606,random,-200.00,-200.00,-0.33
005,0.9510,random,-200.00,-200.00,-0.54
006,0.9415,random,-200.00,-200.00,-0.66
007,0.9321,random,-200.00,-200.00,-0.55
008,0.9227,random,-200.00,-200.00,-0.44
009,0.9135,random,-200.00,-200.00,-0.69
010,0.9044,random,-200.00,-200.00,-0.51
011,0.8953,random,-200.00,-200.00,-0.47
012,0.8864,random,-200.00,-200.00,-0.50
013,0.8775,argmax,-200.00,-200.00,-0.67
014,0.8687,random,-200.00,-200.00,-0.49
015,0.8601,random,-200.00,-200.00,-0.35
016,0.8515,random,-200.00,-200.00,-0.81
017,0.8429,random,-200.00,-200.00,-0.46
018,0.8345,random,-200.00,-200.00,-0.42
019,0.8262,random,-200.00,-200.00,-0.53
020,0.8179,random,-200.00,-200.00,-0.46
021,0.8097,random,-200.00,-200.00,-0.48
022,0.8016,random,-200.00,-200.00,-0.56
023,0.7936,random,-200.00,-200.00,-0.55
024,0.7857,argmax,-200.00,-200.00,-0.66
025,0.7778,argmax,-200.00,-200.00,-0.62
026,0.7700,random,-200.00,-200.00,-0.66
027,0.7623,random,-200.00,-200.00,-0.26
028,0.7547,random,-200.00,-200.00,-0.43
029,0.7472,random,-200.00,-200.00,-0.45
030,0.7397,argmax,-200.00,-200.00,-0.48
031,0.7323,random,-200.00,-200.00,-0.46
032,0.7250,random,-200.00,-200.00,-0.49
033,0.7177,random,-200.00,-200.00,-0.50
034,0.7106,random,-200.00,-200.00,-0.48
035,0.7034,random,-200.00,-200.00,-0.53
036,0.6964,argmax,-200.00,-200.00,-0.53
037,0.6894,random,-200.00,-200.00,-0.56
038,0.6826,random,-200.00,-200.00,-0.68
039,0.6757,argmax,-200.00,-200.00,-0.62
040,0.6690,argmax,-200.00,-200.00,-0.64
041,0.6623,random,-200.00,-200.00,-0.60
042,0.6557,random,-200.00,-200.00,-0.48
043,0.6491,random,-200.00,-200.00,-0.56
044,0.6426,argmax,-200.00,-200.00,-0.45
045,0.6362,random,-200.00,-200.00,-0.28
046,0.6298,random,-200.00,-200.00,-0.57
047,0.6235,argmax,-200.00,-200.00,-0.58
048,0.6173,random,-200.00,-200.00,-0.59
049,0.6111,random,-200.00,-200.00,-0.74
050,0.6050,random,-200.00,-200.00,-0.34
051,0.5990,argmax,-200.00,-200.00,-0.42
052,0.5930,argmax,-200.00,-200.00,-0.68
053,0.5870,random,-200.00,-200.00,-0.55
054,0.5812,argmax,-200.00,-200.00,-0.27
055,0.5754,random,-200.00,-200.00,-0.47
056,0.5696,random,-200.00,-200.00,-0.61
057,0.5639,random,-200.00,-200.00,-0.18
058,0.5583,random,-200.00,-200.00,-0.38
059,0.5527,random,-200.00,-200.00,-0.51
060,0.5472,argmax,-200.00,-200.00,-0.84
061,0.5417,argmax,-200.00,-200.00,0.16
062,0.5363,argmax,-76.00,-198.03,0.51
063,0.5309,random,-200.00,-198.06,-1.17
064,0.5256,argmax,-74.00,-196.15,0.50
065,0.5203,argmax,-200.00,-196.21,-0.66
066,0.5151,argmax,-200.00,-196.27,-0.56
067,0.5100,argmax,-200.00,-196.32,-0.73
068,0.5049,argmax,-200.00,-196.38,-0.61
069,0.4998,argmax,-200.00,-196.43,-0.49
070,0.4948,random,-200.00,-196.48,-0.46
071,0.4899,argmax,-200.00,-196.53,-0.52
072,0.4850,random,-200.00,-196.58,-0.62
073,0.4801,argmax,-200.00,-196.62,-0.74
074,0.4753,argmax,-200.00,-196.67,-0.32
075,0.4706,argmax,-200.00,-196.71,-0.64
076,0.4659,random,-200.00,-196.75,-0.56
077,0.4612,argmax,-200.00,-196.79,-0.54
078,0.4566,argmax,-200.00,-196.84,-0.48
079,0.4520,argmax,-200.00,-196.88,-0.56
080,0.4475,random,-200.00,-196.91,-0.50
081,0.4430,random,-200.00,-196.95,-0.40
082,0.4386,random,-200.00,-196.99,-0.68
083,0.4342,argmax,-200.00,-197.02,-0.69
084,0.4299,argmax,-200.00,-197.06,-0.31
085,0.4256,argmax,-200.00,-197.09,-0.19
086,0.4213,argmax,-200.00,-197.13,-0.52
087,0.4171,random,-200.00,-197.16,-0.52
088,0.4129,random,-200.00,-197.19,-0.34
089,0.4088,argmax,-200.00,-197.22,-0.44
090,0.4047,argmax,-200.00,-197.25,-0.60
091,0.4007,argmax,-200.00,-197.28,-0.65
092,0.3967,argmax,-200.00,-197.31,-0.55
093,0.3927,argmax,-200.00,-197.34,-0.56
094,0.3888,argmax,-200.00,-197.37,-0.38
095,0.3849,argmax,-200.00,-197.40,-0.54
096,0.3810,argmax,-200.00,-197.42,-0.25
097,0.3772,argmax,-200.00,-197.45,-0.64
098,0.3735,random,-200.00,-197.47,-0.32
099,0.3697,argmax,-200.00,-197.50,-0.62
100,0.3660,argmax,-200.00,-197.50,-0.49
101,0.3624,argmax,-200.00,-197.50,-0.26
102,0.3587,random,-200.00,-197.50,-0.58
103,0.3552,random,-200.00,-197.50,-0.51
104,0.3516,argmax,-200.00,-197.50,-0.46
105,0.3481,argmax,-200.00,-197.50,-0.57
106,0.3446,argmax,-200.00,-197.50,-0.43
107,0.3412,argmax,-200.00,-197.50,-0.75
108,0.3378,random,-200.00,-197.50,-0.45
109,0.3344,argmax,-200.00,-197.50,-0.44
110,0.3310,argmax,-200.00,-197.50,-0.27
111,0.3277,random,-200.00,-197.50,-0.33
112,0.3244,argmax,-200.00,-197.50,-0.54
113,0.3212,random,-200.00,-197.50,-0.50
114,0.3180,random,-200.00,-197.50,-0.65
115,0.3148,argmax,-200.00,-197.50,-0.60
116,0.3117,argmax,-200.00,-197.50,-0.63
117,0.3085,random,-200.00,-197.50,-0.47
118,0.3055,argmax,-200.00,-197.50,-0.24
119,0.3024,argmax,-200.00,-197.50,-0.44
120,0.2994,random,-200.00,-197.50,-0.49
121,0.2964,random,-200.00,-197.50,-0.68
122,0.2934,random,-200.00,-197.50,-0.36
123,0.2905,random,-200.00,-197.50,-0.76
124,0.2876,argmax,-200.00,-197.50,-0.44
125,0.2847,argmax,-200.00,-197.50,-0.54
126,0.2819,argmax,-200.00,-197.50,-0.43
127,0.2790,random,-200.00,-197.50,-0.65
128,0.2763,random,-200.00,-197.50,-0.63
129,0.2735,argmax,-200.00,-197.50,-0.46
130,0.2708,argmax,-200.00,-197.50,-0.51
131,0.2680,argmax,-200.00,-197.50,-0.52
132,0.2654,argmax,-200.00,-197.50,-0.55
133,0.2627,argmax,-200.00,-197.50,-0.68
134,0.2601,argmax,-200.00,-197.50,-0.35
135,0.2575,argmax,-200.00,-197.50,-0.55
136,0.2549,argmax,-200.00,-197.50,-0.50
137,0.2524,argmax,-200.00,-197.50,-0.42
138,0.2498,argmax,-200.00,-197.50,-0.35
139,0.2473,argmax,-200.00,-197.50,-0.46
140,0.2449,argmax,-200.00,-197.50,-0.44
141,0.2424,argmax,-200.00,-197.50,-0.45
142,0.2400,argmax,-200.00,-197.50,-0.39
143,0.2376,argmax,-200.00,-197.50,-0.33
144,0.2352,argmax,-200.00,-197.50,-0.41
145,0.2329,argmax,-200.00,-197.50,-0.64
146,0.2305,argmax,-200.00,-197.50,-0.32
147,0.2282,argmax,-200.00,-197.50,-0.36
148,0.2259,random,-200.00,-197.50,-0.50
149,0.2237,random,-200.00,-197.50,-0.50
150,0.2215,argmax,-200.00,-197.50,-0.27
151,0.2192,argmax,-200.00,-197.50,-0.33
152,0.2170,argmax,-200.00,-197.50,-0.43
153,0.2149,random,-200.00,-197.50,-0.49
154,0.2127,argmax,-200.00,-197.50,-0.57
155,0.2106,argmax,-200.00,-197.50,-0.53
