Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.5
1,0.99,random,-200.0,-200.0,-0.64
2,0.9801,random,-200.0,-200.0,-0.46
3,0.9703,random,-200.0,-200.0,-0.58
4,0.9606,random,-200.0,-200.0,-0.55
5,0.951,random,-200.0,-200.0,-0.7
6,0.9415,random,-200.0,-200.0,-0.47
7,0.9321,random,-200.0,-200.0,-0.46
8,0.9227,random,-200.0,-200.0,-0.62
9,0.9135,random,-200.0,-200.0,-0.56
10,0.9044,random,-200.0,-200.0,-0.45
11,0.8953,random,-200.0,-200.0,-0.53
12,0.8864,random,-200.0,-200.0,-0.59
13,0.8775,random,-200.0,-200.0,-0.43
14,0.8687,argmax,-200.0,-200.0,-0.63
15,0.8601,argmax,-200.0,-200.0,-0.36
16,0.8515,random,-200.0,-200.0,-0.38
17,0.8429,random,-200.0,-200.0,-0.55
18,0.8345,random,-200.0,-200.0,-0.45
19,0.8262,argmax,-200.0,-200.0,-0.57
20,0.8179,random,-200.0,-200.0,-0.47
21,0.8097,random,-200.0,-200.0,-0.58
22,0.8016,random,-200.0,-200.0,-0.29
23,0.7936,random,-200.0,-200.0,-0.5
24,0.7857,random,-200.0,-200.0,-0.53
25,0.7778,random,-200.0,-200.0,-0.43
26,0.77,random,-200.0,-200.0,-0.6
27,0.7623,random,-200.0,-200.0,-0.58
28,0.7547,random,-200.0,-200.0,-0.33
29,0.7472,random,-200.0,-200.0,-0.59
30,0.7397,random,-200.0,-200.0,-0.36
31,0.7323,random,-200.0,-200.0,-0.77
32,0.725,random,-200.0,-200.0,-0.48
33,0.7177,random,-200.0,-200.0,-0.31
34,0.7106,argmax,-200.0,-200.0,-0.62
35,0.7034,random,-200.0,-200.0,-0.58
36,0.6964,random,-200.0,-200.0,-0.45
37,0.6894,argmax,-200.0,-200.0,-0.68
38,0.6826,random,-200.0,-200.0,-0.45
39,0.6757,random,-200.0,-200.0,-0.54
40,0.669,random,-200.0,-200.0,-0.52
41,0.6623,argmax,-200.0,-200.0,-0.61
42,0.6557,random,-200.0,-200.0,-0.27
43,0.6491,random,-200.0,-200.0,-0.62
44,0.6426,argmax,-200.0,-200.0,-0.62
45,0.6362,random,-200.0,-200.0,-0.4
46,0.6298,random,-200.0,-200.0,-0.78
47,0.6235,argmax,-200.0,-200.0,-0.68
48,0.6173,argmax,-200.0,-200.0,-0.27
49,0.6111,random,-200.0,-200.0,-0.49
50,0.605,argmax,-200.0,-200.0,-0.66
51,0.599,argmax,-200.0,-200.0,-0.43
52,0.593,argmax,-200.0,-200.0,-0.39
53,0.587,argmax,-200.0,-200.0,-0.25
54,0.5812,argmax,-200.0,-200.0,-0.43
55,0.5754,argmax,-200.0,-200.0,-0.41
56,0.5696,argmax,-200.0,-200.0,-0.69
57,0.5639,argmax,-200.0,-200.0,-0.55
58,0.5583,argmax,-200.0,-200.0,-0.57
59,0.5527,random,-200.0,-200.0,-0.4
60,0.5472,argmax,-200.0,-200.0,-0.87
61,0.5417,argmax,-200.0,-200.0,-0.2
62,0.5363,argmax,-200.0,-200.0,-0.71
63,0.5309,random,-200.0,-200.0,-0.8
64,0.5256,random,-200.0,-200.0,-0.74
65,0.5203,random,-200.0,-200.0,-0.56
66,0.5151,random,-200.0,-200.0,-0.44
67,0.51,argmax,-200.0,-200.0,-0.84
68,0.5049,random,-200.0,-200.0,-0.54
69,0.4998,argmax,-200.0,-200.0,-0.17
70,0.4948,argmax,-200.0,-200.0,-0.47
71,0.4899,argmax,-200.0,-200.0,-0.51
72,0.485,random,-200.0,-200.0,-0.54
73,0.4801,random,-200.0,-200.0,-1.0
74,0.4753,random,-200.0,-200.0,-0.42
75,0.4706,argmax,-200.0,-200.0,-0.72
76,0.4659,random,-200.0,-200.0,-0.61
77,0.4612,random,-200.0,-200.0,-0.42
78,0.4566,argmax,-200.0,-200.0,-0.77
79,0.452,argmax,-200.0,-200.0,-0.53
80,0.4475,argmax,-200.0,-200.0,-0.29
81,0.443,random,-200.0,-200.0,-0.58
82,0.4386,argmax,-200.0,-200.0,-0.58
83,0.4342,random,-200.0,-200.0,-0.37
84,0.4299,random,-200.0,-200.0,-0.88
85,0.4256,random,-200.0,-200.0,-0.66
86,0.4213,argmax,-200.0,-200.0,-0.58
87,0.4171,argmax,-200.0,-200.0,-0.56
88,0.4129,argmax,-200.0,-200.0,-0.63
89,0.4088,argmax,-200.0,-200.0,-0.67
90,0.4047,argmax,-200.0,-200.0,-0.66
91,0.4007,random,-200.0,-200.0,-0.37
92,0.3967,random,-200.0,-200.0,-0.48
93,0.3927,argmax,-200.0,-200.0,-0.48
94,0.3888,argmax,-200.0,-200.0,-0.3
95,0.3849,random,-200.0,-200.0,-0.4
96,0.381,random,-200.0,-200.0,-0.89
97,0.3772,argmax,-200.0,-200.0,-0.87
98,0.3735,random,-200.0,-200.0,-0.71
99,0.3697,random,-200.0,-200.0,-0.51
100,0.366,random,-200.0,-200.0,-1.17
101,0.3624,argmax,-200.0,-200.0,-0.45
102,0.3587,argmax,-200.0,-200.0,-0.71
103,0.3552,argmax,-200.0,-200.0,-0.69
104,0.3516,random,-200.0,-200.0,-0.41
105,0.3481,random,-200.0,-200.0,-0.39
106,0.3446,random,-200.0,-200.0,-0.41
107,0.3412,argmax,-200.0,-200.0,-0.42
108,0.3378,argmax,-200.0,-200.0,-1.12
109,0.3344,argmax,-200.0,-200.0,-0.33
110,0.331,random,-200.0,-200.0,-0.76
111,0.3277,random,-200.0,-200.0,-0.86
112,0.3244,random,-200.0,-200.0,-0.44
113,0.3212,argmax,-200.0,-200.0,-0.84
114,0.318,random,-200.0,-200.0,-0.38
115,0.3148,random,-200.0,-200.0,-0.75
116,0.3117,argmax,-200.0,-200.0,-0.4
117,0.3085,argmax,-200.0,-200.0,-0.57
118,0.3055,argmax,-200.0,-200.0,-0.31
119,0.3024,argmax,-200.0,-200.0,-0.55
120,0.2994,argmax,-200.0,-200.0,-0.39
121,0.2964,random,-200.0,-200.0,-0.87
122,0.2934,random,-200.0,-200.0,-0.27
123,0.2905,argmax,-200.0,-200.0,-0.68
124,0.2876,random,-200.0,-200.0,-0.32
125,0.2847,argmax,-200.0,-200.0,-0.65
126,0.2819,argmax,-200.0,-200.0,-1.19
127,0.279,argmax,-200.0,-200.0,-0.34
128,0.2763,argmax,-200.0,-200.0,-0.69
129,0.2735,argmax,-200.0,-200.0,-0.78
130,0.2708,argmax,-200.0,-200.0,-0.17
131,0.268,argmax,-200.0,-200.0,-0.49
132,0.2654,argmax,-200.0,-200.0,-0.87
133,0.2627,argmax,-200.0,-200.0,-0.32
134,0.2601,argmax,-200.0,-200.0,-0.73
135,0.2575,argmax,-200.0,-200.0,-0.75
136,0.2549,argmax,-200.0,-200.0,-0.11
137,0.2524,argmax,-200.0,-200.0,-0.44
138,0.2498,argmax,-200.0,-200.0,-0.42
139,0.2473,random,-200.0,-200.0,-0.09
140,0.2449,argmax,-200.0,-200.0,-0.71
141,0.2424,random,-200.0,-200.0,-0.78
142,0.24,argmax,-200.0,-200.0,-0.6
143,0.2376,random,-200.0,-200.0,-0.16
144,0.2352,random,-200.0,-200.0,-0.75
145,0.2329,argmax,-200.0,-200.0,-0.42
146,0.2305,argmax,-200.0,-200.0,-0.09
147,0.2282,random,-200.0,-200.0,-0.22
148,0.2259,argmax,-200.0,-200.0,-0.88
149,0.2237,random,-200.0,-200.0,-0.33
150,0.2215,argmax,-200.0,-200.0,-0.68
151,0.2192,argmax,-200.0,-200.0,-0.43
152,0.217,random,-200.0,-200.0,-0.16
153,0.2149,argmax,-200.0,-200.0,-0.35
154,0.2127,argmax,-200.0,-200.0,-0.33
155,0.2106,argmax,-200.0,-200.0,-0.67
156,0.2085,argmax,-200.0,-200.0,-0.82
157,0.2064,random,-200.0,-200.0,-0.96
158,0.2043,random,-200.0,-200.0,-0.85
159,0.2023,random,-200.0,-200.0,-0.64
160,0.2003,argmax,-200.0,-200.0,-0.63
161,0.1983,argmax,-200.0,-200.0,-0.6
162,0.1963,argmax,-200.0,-200.0,-0.21
163,0.1943,argmax,-200.0,-200.0,-0.51
164,0.1924,random,-200.0,-200.0,-0.66
165,0.1905,argmax,-200.0,-200.0,-0.58
166,0.1886,argmax,-200.0,-200.0,-0.48
167,0.1867,argmax,-200.0,-200.0,-0.58
168,0.1848,argmax,-200.0,-200.0,-0.25
169,0.183,argmax,-200.0,-200.0,-0.57
170,0.1811,argmax,-200.0,-200.0,-0.8
171,0.1793,argmax,-200.0,-200.0,0.13
172,0.1775,argmax,-200.0,-200.0,-1.12
173,0.1757,argmax,-200.0,-200.0,-0.46
174,0.174,argmax,-200.0,-200.0,-0.69
175,0.1722,argmax,-200.0,-200.0,-0.98
176,0.1705,argmax,-200.0,-200.0,-0.69
177,0.1688,argmax,-200.0,-200.0,-0.76
178,0.1671,argmax,-200.0,-200.0,-0.66
179,0.1655,argmax,-200.0,-200.0,-0.69
180,0.1638,argmax,-200.0,-200.0,-0.42
181,0.1622,argmax,-200.0,-200.0,0.01
182,0.1605,random,-200.0,-200.0,-0.52
183,0.1589,argmax,-200.0,-200.0,-0.09
184,0.1574,argmax,-200.0,-200.0,-0.1
185,0.1558,argmax,-200.0,-200.0,-0.19
186,0.1542,argmax,-200.0,-200.0,-0.41
187,0.1527,random,-200.0,-200.0,-0.08
188,0.1512,argmax,-200.0,-200.0,-0.83
189,0.1496,random,-200.0,-200.0,-0.65
190,0.1481,argmax,-200.0,-200.0,-0.49
191,0.1467,argmax,-200.0,-200.0,-0.43
192,0.1452,argmax,-200.0,-200.0,-0.35
193,0.1437,argmax,-200.0,-200.0,-0.16
194,0.1423,argmax,-200.0,-200.0,-0.8
195,0.1409,random,-200.0,-200.0,-0.52
196,0.1395,argmax,-200.0,-200.0,-0.58
197,0.1381,argmax,-200.0,-200.0,-0.78
198,0.1367,argmax,-200.0,-200.0,-0.16
199,0.1353,random,-200.0,-200.0,-0.77
200,0.134,argmax,-200.0,-200.0,-0.53
201,0.1326,random,-200.0,-200.0,-1.19
202,0.1313,argmax,-200.0,-200.0,-0.29
203,0.13,argmax,-200.0,-200.0,-0.64
204,0.1287,argmax,-200.0,-200.0,-0.44
205,0.1274,argmax,-200.0,-200.0,-0.43
206,0.1261,argmax,-200.0,-200.0,-0.68
207,0.1249,argmax,-200.0,-200.0,-0.96
208,0.1236,random,-200.0,-200.0,-0.23
209,0.1224,argmax,-200.0,-200.0,-0.44
210,0.1212,argmax,-200.0,-200.0,-0.56
211,0.12,argmax,-200.0,-200.0,-0.32
212,0.1188,argmax,-200.0,-200.0,-0.68
213,0.1176,argmax,-200.0,-200.0,-0.88
214,0.1164,argmax,-200.0,-200.0,-0.57
215,0.1152,argmax,-200.0,-200.0,-0.62
216,0.1141,argmax,-200.0,-200.0,-0.76
217,0.1129,argmax,-200.0,-200.0,-0.8
218,0.1118,argmax,-200.0,-200.0,-0.88
219,0.1107,random,-200.0,-200.0,-0.53
220,0.1096,argmax,-200.0,-200.0,-0.72
221,0.1085,argmax,-200.0,-200.0,-0.64
222,0.1074,argmax,-200.0,-200.0,-0.44
223,0.1063,argmax,-200.0,-200.0,-0.79
224,0.1053,argmax,-200.0,-200.0,-0.26
225,0.1042,argmax,-200.0,-200.0,-0.52
226,0.1032,argmax,-200.0,-200.0,-0.77
227,0.1021,argmax,-200.0,-200.0,-1.02
228,0.1011,argmax,-200.0,-200.0,-0.03
229,0.1001,argmax,-200.0,-200.0,-0.29
