Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.51
1,0.99,random,-200.0,-200.0,-0.45
2,0.9801,random,-200.0,-200.0,-0.47
3,0.9703,random,-200.0,-200.0,-0.48
4,0.9606,random,-200.0,-200.0,-0.49
5,0.951,random,-200.0,-200.0,-0.62
6,0.9415,random,-200.0,-200.0,-0.42
7,0.9321,random,-200.0,-200.0,-0.56
8,0.9227,random,-200.0,-200.0,-0.52
9,0.9135,random,-200.0,-200.0,-0.71
10,0.9044,random,-200.0,-200.0,-0.32
11,0.8953,random,-200.0,-200.0,-0.53
12,0.8864,random,-200.0,-200.0,-0.48
13,0.8775,random,-200.0,-200.0,-0.49
14,0.8687,random,-200.0,-200.0,-0.36
15,0.8601,argmax,-200.0,-200.0,-0.56
16,0.8515,random,-200.0,-200.0,-0.63
17,0.8429,random,-200.0,-200.0,-0.68
18,0.8345,random,-200.0,-200.0,-0.55
19,0.8262,random,-200.0,-200.0,-0.59
20,0.8179,random,-200.0,-200.0,-0.64
21,0.8097,argmax,-200.0,-200.0,-0.49
22,0.8016,argmax,-200.0,-200.0,-0.46
23,0.7936,argmax,-200.0,-200.0,-0.43
24,0.7857,random,-200.0,-200.0,-0.5
25,0.7778,random,-200.0,-200.0,-0.69
26,0.77,argmax,-200.0,-200.0,-0.48
27,0.7623,random,-200.0,-200.0,-0.56
28,0.7547,random,-200.0,-200.0,-0.59
29,0.7472,random,-200.0,-200.0,-0.49
30,0.7397,random,-200.0,-200.0,-0.76
31,0.7323,random,-200.0,-200.0,-0.57
32,0.725,argmax,-200.0,-200.0,-0.45
33,0.7177,random,-200.0,-200.0,-0.54
34,0.7106,random,-200.0,-200.0,-0.5
35,0.7034,random,-200.0,-200.0,-0.51
36,0.6964,random,-200.0,-200.0,-0.42
37,0.6894,random,-200.0,-200.0,-0.59
38,0.6826,argmax,-200.0,-200.0,-0.51
39,0.6757,random,-200.0,-200.0,-0.65
40,0.669,random,-200.0,-200.0,-0.53
41,0.6623,argmax,-200.0,-200.0,-0.53
42,0.6557,random,-200.0,-200.0,-0.41
43,0.6491,random,-200.0,-200.0,-0.45
44,0.6426,random,-200.0,-200.0,-0.54
45,0.6362,argmax,-200.0,-200.0,-0.46
46,0.6298,random,-200.0,-200.0,-0.47
47,0.6235,argmax,-200.0,-200.0,-0.66
48,0.6173,random,-200.0,-200.0,-0.59
49,0.6111,random,-200.0,-200.0,-0.55
50,0.605,random,-200.0,-200.0,-0.7
51,0.599,random,-200.0,-200.0,-0.52
52,0.593,argmax,-200.0,-200.0,-0.5
53,0.587,argmax,-200.0,-200.0,-0.49
54,0.5812,random,-200.0,-200.0,-0.71
55,0.5754,random,-200.0,-200.0,-0.44
56,0.5696,argmax,-200.0,-200.0,-0.63
57,0.5639,argmax,-200.0,-200.0,-0.45
58,0.5583,random,-200.0,-200.0,-0.62
59,0.5527,random,-200.0,-200.0,-0.68
60,0.5472,random,-200.0,-200.0,-0.77
61,0.5417,random,-200.0,-200.0,-0.49
62,0.5363,argmax,-200.0,-200.0,-0.46
63,0.5309,argmax,-200.0,-200.0,-0.44
64,0.5256,random,-200.0,-200.0,-0.54
