Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.58
1,0.99,random,-200.0,-200.0,-0.33
2,0.9801,random,-200.0,-200.0,-0.56
3,0.9703,random,-200.0,-200.0,-0.51
4,0.9606,random,-200.0,-200.0,-0.53
5,0.951,random,-200.0,-200.0,-0.64
6,0.9415,random,-200.0,-200.0,-0.73
7,0.9321,random,-200.0,-200.0,-0.68
8,0.9227,random,-200.0,-200.0,-0.56
9,0.9135,random,-200.0,-200.0,-0.44
10,0.9044,random,-200.0,-200.0,-0.54
11,0.8953,random,-200.0,-200.0,-0.68
12,0.8864,argmax,-200.0,-200.0,-0.44
13,0.8775,random,-200.0,-200.0,-0.62
14,0.8687,random,-200.0,-200.0,-0.53
15,0.8601,argmax,-200.0,-200.0,-0.62
16,0.8515,random,-200.0,-200.0,-0.58
17,0.8429,random,-200.0,-200.0,-0.48
18,0.8345,random,-200.0,-200.0,-0.61
19,0.8262,random,-200.0,-200.0,-0.56
20,0.8179,argmax,-200.0,-200.0,-0.49
21,0.8097,argmax,-200.0,-200.0,-0.39
22,0.8016,random,-200.0,-200.0,-0.55
23,0.7936,random,-200.0,-200.0,-0.51
24,0.7857,random,-200.0,-200.0,-0.56
25,0.7778,random,-200.0,-200.0,-0.68
26,0.77,argmax,-200.0,-200.0,-0.57
27,0.7623,random,-200.0,-200.0,-0.32
28,0.7547,random,-200.0,-200.0,-0.69
29,0.7472,random,-200.0,-200.0,-0.54
30,0.7397,random,-200.0,-200.0,-0.53
31,0.7323,random,-200.0,-200.0,-0.53
32,0.725,random,-200.0,-200.0,-0.5
33,0.7177,argmax,-200.0,-200.0,-0.41
34,0.7106,random,-200.0,-200.0,-0.5
35,0.7034,random,-200.0,-200.0,-0.8
36,0.6964,random,-200.0,-200.0,-0.6
37,0.6894,random,-200.0,-200.0,-0.66
38,0.6826,random,-200.0,-200.0,-0.69
39,0.6757,argmax,-200.0,-200.0,-0.86
40,0.669,random,-200.0,-200.0,-0.53
