Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.59
1,0.99,random,-200.0,-200.0,-0.38
2,0.9801,random,-200.0,-200.0,-0.48
3,0.9703,random,-200.0,-200.0,-0.7
4,0.9606,random,-200.0,-200.0,-0.62
5,0.951,random,-200.0,-200.0,-0.62
6,0.9415,random,-200.0,-200.0,-0.47
7,0.9321,random,-200.0,-200.0,-0.44
8,0.9227,random,-200.0,-200.0,-0.67
9,0.9135,random,-200.0,-200.0,-0.48
10,0.9044,random,-200.0,-200.0,-0.45
11,0.8953,random,-200.0,-200.0,-0.62
12,0.8864,random,-200.0,-200.0,-0.59
13,0.8775,random,-200.0,-200.0,-0.64
14,0.8687,random,-200.0,-200.0,-0.46
15,0.8601,random,-200.0,-200.0,-0.55
16,0.8515,random,-200.0,-200.0,-0.39
17,0.8429,random,-200.0,-200.0,-0.65
18,0.8345,random,-200.0,-200.0,-0.56
19,0.8262,random,-200.0,-200.0,-0.44
20,0.8179,random,-200.0,-200.0,-0.47
21,0.8097,random,-200.0,-200.0,-0.36
22,0.8016,random,-200.0,-200.0,-0.64
23,0.7936,random,-200.0,-200.0,-0.61
24,0.7857,random,-200.0,-200.0,-0.77
25,0.7778,random,-200.0,-200.0,-0.59
26,0.77,random,-200.0,-200.0,-0.56
27,0.7623,random,-200.0,-200.0,-0.44
28,0.7547,random,-200.0,-200.0,-0.53
29,0.7472,random,-200.0,-200.0,-0.6
30,0.7397,random,-200.0,-200.0,-0.28
31,0.7323,random,-200.0,-200.0,-0.64
32,0.725,random,-200.0,-200.0,-0.44
33,0.7177,argmax,-200.0,-200.0,-0.65
34,0.7106,random,-200.0,-200.0,-0.81
35,0.7034,random,-200.0,-200.0,-0.55
36,0.6964,random,-200.0,-200.0,-0.43
37,0.6894,random,-200.0,-200.0,-0.68
38,0.6826,argmax,-200.0,-200.0,-0.65
39,0.6757,random,-200.0,-200.0,-0.64
40,0.669,random,-200.0,-200.0,-0.46
41,0.6623,argmax,-200.0,-200.0,-0.7
42,0.6557,argmax,-200.0,-200.0,-0.67
43,0.6491,random,-200.0,-200.0,-0.67
44,0.6426,argmax,-200.0,-200.0,-0.7
45,0.6362,argmax,-200.0,-200.0,-0.13
