Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.56
1,0.99,random,-200.0,-200.0,-0.52
2,0.9801,random,-200.0,-200.0,-0.42
3,0.9703,random,-200.0,-200.0,-0.72
4,0.9606,random,-200.0,-200.0,-0.5
5,0.951,random,-200.0,-200.0,-0.66
6,0.9415,random,-200.0,-200.0,-0.41
7,0.9321,random,-200.0,-200.0,-0.43
8,0.9227,random,-200.0,-200.0,-0.32
9,0.9135,random,-200.0,-200.0,-0.82
10,0.9044,random,-200.0,-200.0,-0.56
11,0.8953,argmax,-200.0,-200.0,-0.52
12,0.8864,argmax,-200.0,-200.0,-0.41
13,0.8775,random,-200.0,-200.0,-0.45
14,0.8687,random,-200.0,-200.0,-0.48
15,0.8601,random,-200.0,-200.0,-0.73
16,0.8515,argmax,-200.0,-200.0,-0.56
17,0.8429,argmax,-200.0,-200.0,-0.45
18,0.8345,argmax,-200.0,-200.0,-0.43
19,0.8262,random,-200.0,-200.0,-0.59
20,0.8179,random,-200.0,-200.0,-0.46
21,0.8097,argmax,-200.0,-200.0,-0.48
22,0.8016,random,-200.0,-200.0,-0.56
23,0.7936,random,-200.0,-200.0,-0.48
24,0.7857,random,-200.0,-200.0,-0.59
25,0.7778,random,-200.0,-200.0,-0.57
26,0.77,random,-200.0,-200.0,-0.74
27,0.7623,random,-200.0,-200.0,-0.36
28,0.7547,random,-200.0,-200.0,-0.44
29,0.7472,random,-200.0,-200.0,-0.78
30,0.7397,random,-200.0,-200.0,-0.59
31,0.7323,random,-200.0,-200.0,-0.55
32,0.725,random,-200.0,-200.0,-0.55
33,0.7177,random,-200.0,-200.0,-0.69
34,0.7106,random,-200.0,-200.0,-0.49
35,0.7034,random,-200.0,-200.0,-0.37
36,0.6964,random,-200.0,-200.0,-0.51
37,0.6894,random,-200.0,-200.0,-0.59
38,0.6826,random,-200.0,-200.0,-0.44
39,0.6757,argmax,-200.0,-200.0,-0.36
40,0.669,argmax,-200.0,-200.0,-0.56
41,0.6623,argmax,-200.0,-200.0,-0.54
42,0.6557,random,-200.0,-200.0,-0.62
43,0.6491,argmax,-200.0,-200.0,-0.62
44,0.6426,random,-200.0,-200.0,-0.56
45,0.6362,argmax,-200.0,-200.0,-0.52
46,0.6298,random,-200.0,-200.0,-0.6
47,0.6235,random,-200.0,-200.0,-0.42
48,0.6173,random,-200.0,-200.0,-0.48
49,0.6111,argmax,-200.0,-200.0,-0.42
50,0.605,random,-200.0,-200.0,-0.58
51,0.599,random,-200.0,-200.0,-0.51
52,0.593,argmax,-200.0,-200.0,-0.59
53,0.587,random,-200.0,-200.0,-0.52
54,0.5812,argmax,-200.0,-200.0,-0.55
55,0.5754,argmax,-200.0,-200.0,-0.43
56,0.5696,random,-200.0,-200.0,-0.43
57,0.5639,argmax,-200.0,-200.0,-0.71
58,0.5583,random,-200.0,-200.0,-0.66
59,0.5527,argmax,-200.0,-200.0,-0.46
60,0.5472,random,-200.0,-200.0,-0.38
61,0.5417,argmax,-200.0,-200.0,-0.43
62,0.5363,random,-200.0,-200.0,-0.51
63,0.5309,random,-200.0,-200.0,-0.65
64,0.5256,random,-200.0,-200.0,-0.75
65,0.5203,argmax,-200.0,-200.0,-0.37
66,0.5151,argmax,-200.0,-200.0,-0.47
67,0.51,random,-200.0,-200.0,-0.54
68,0.5049,argmax,-200.0,-200.0,-0.53
69,0.4998,argmax,-200.0,-200.0,-0.83
70,0.4948,argmax,-200.0,-200.0,-0.36
71,0.4899,random,-200.0,-200.0,-0.61
72,0.485,random,-200.0,-200.0,-0.45
73,0.4801,argmax,-200.0,-200.0,-0.44
74,0.4753,argmax,-200.0,-200.0,-0.51
75,0.4706,argmax,-200.0,-200.0,-0.45
76,0.4659,argmax,-200.0,-200.0,-0.35
77,0.4612,argmax,-200.0,-200.0,-0.64
78,0.4566,argmax,-200.0,-200.0,-0.42
79,0.452,argmax,-200.0,-200.0,-0.56
80,0.4475,random,-200.0,-200.0,-0.66
81,0.443,argmax,-200.0,-200.0,-0.55
82,0.4386,argmax,-200.0,-200.0,-0.61
83,0.4342,random,-200.0,-200.0,-0.52
84,0.4299,random,-200.0,-200.0,-0.65
