Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.5
1,0.99,random,-200.0,-200.0,-0.6
2,0.9801,random,-200.0,-200.0,-0.53
3,0.9703,random,-200.0,-200.0,-0.4
4,0.9606,random,-200.0,-200.0,-0.52
5,0.951,random,-200.0,-200.0,-0.45
6,0.9415,random,-200.0,-200.0,-0.52
7,0.9321,random,-200.0,-200.0,-0.36
8,0.9227,random,-200.0,-200.0,-0.49
9,0.9135,random,-200.0,-200.0,-0.63
10,0.9044,random,-200.0,-200.0,-0.46
11,0.8953,random,-200.0,-200.0,-0.53
12,0.8864,random,-200.0,-200.0,-0.64
13,0.8775,random,-200.0,-200.0,-0.41
14,0.8687,random,-200.0,-200.0,-0.63
15,0.8601,argmax,-200.0,-200.0,-0.46
16,0.8515,random,-200.0,-200.0,-0.23
17,0.8429,random,-200.0,-200.0,-0.45
18,0.8345,random,-200.0,-200.0,-0.45
19,0.8262,random,-200.0,-200.0,-0.6
20,0.8179,random,-200.0,-200.0,-0.58
21,0.8097,random,-200.0,-200.0,-0.68
22,0.8016,random,-200.0,-200.0,-0.43
23,0.7936,random,-200.0,-200.0,-0.36
24,0.7857,random,-200.0,-200.0,-0.46
25,0.7778,random,-200.0,-200.0,-0.47
26,0.77,argmax,-200.0,-200.0,-0.29
27,0.7623,random,-200.0,-200.0,-0.45
28,0.7547,random,-200.0,-200.0,-0.39
29,0.7472,argmax,-200.0,-200.0,-0.52
30,0.7397,random,-200.0,-200.0,-0.38
31,0.7323,argmax,-200.0,-200.0,-0.38
32,0.725,random,-200.0,-200.0,-0.28
33,0.7177,random,-200.0,-200.0,-0.58
34,0.7106,random,-200.0,-200.0,-0.38
35,0.7034,random,-200.0,-200.0,-0.43
36,0.6964,random,-200.0,-200.0,-0.53
37,0.6894,argmax,-200.0,-200.0,-0.62
38,0.6826,random,-200.0,-200.0,-0.59
39,0.6757,argmax,-200.0,-200.0,-0.58
40,0.669,random,-200.0,-200.0,-0.35
41,0.6623,random,-200.0,-200.0,-0.55
42,0.6557,random,-200.0,-200.0,-0.7
43,0.6491,random,-200.0,-200.0,-0.34
44,0.6426,argmax,-200.0,-200.0,-0.27
45,0.6362,argmax,-200.0,-200.0,-0.42
46,0.6298,random,-200.0,-200.0,-0.52
47,0.6235,argmax,-200.0,-200.0,-0.36
48,0.6173,random,-200.0,-200.0,-0.47
49,0.6111,random,-200.0,-200.0,-0.41
50,0.605,random,-200.0,-200.0,-0.53
51,0.599,argmax,-200.0,-200.0,-0.51
52,0.593,random,-200.0,-200.0,-0.41
53,0.587,random,-200.0,-200.0,-0.54
54,0.5812,random,-200.0,-200.0,-0.34
55,0.5754,random,-200.0,-200.0,-0.64
56,0.5696,random,-200.0,-200.0,-0.32
57,0.5639,argmax,-200.0,-200.0,-0.44
58,0.5583,argmax,-200.0,-200.0,-0.59
59,0.5527,random,-200.0,-200.0,-0.49
60,0.5472,random,-200.0,-200.0,-0.2
61,0.5417,random,-200.0,-200.0,-0.23
62,0.5363,random,-200.0,-200.0,-0.45
63,0.5309,argmax,-200.0,-200.0,-0.41
64,0.5256,argmax,-200.0,-200.0,-0.21
65,0.5203,random,-200.0,-200.0,-0.53
66,0.5151,argmax,-200.0,-200.0,-0.34
67,0.51,argmax,-200.0,-200.0,-0.55
68,0.5049,argmax,-200.0,-200.0,-0.42
69,0.4998,argmax,-200.0,-200.0,-0.57
70,0.4948,random,-200.0,-200.0,-0.6
71,0.4899,random,-200.0,-200.0,-0.56
72,0.485,argmax,-200.0,-200.0,-0.53
73,0.4801,random,-200.0,-200.0,-0.6
