Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.56
1,0.99,random,-200.0,-200.0,-0.28
2,0.9801,random,-200.0,-200.0,-0.53
3,0.9703,random,-200.0,-200.0,-0.61
4,0.9606,random,-200.0,-200.0,-0.49
5,0.951,random,-200.0,-200.0,-0.52
6,0.9415,random,-200.0,-200.0,-0.68
7,0.9321,random,-200.0,-200.0,-0.45
8,0.9227,random,-200.0,-200.0,-0.61
9,0.9135,random,-200.0,-200.0,-0.56
10,0.9044,random,-200.0,-200.0,-0.58
11,0.8953,random,-200.0,-200.0,-0.62
12,0.8864,random,-200.0,-200.0,-0.54
13,0.8775,random,-200.0,-200.0,-0.5
14,0.8687,random,-200.0,-200.0,-0.49
15,0.8601,random,-200.0,-200.0,-0.53
16,0.8515,random,-200.0,-200.0,-0.5
17,0.8429,random,-200.0,-200.0,-0.51
18,0.8345,argmax,-200.0,-200.0,-0.7
19,0.8262,random,-200.0,-200.0,-0.58
20,0.8179,random,-200.0,-200.0,-0.68
21,0.8097,random,-200.0,-200.0,-0.6
22,0.8016,random,-200.0,-200.0,-0.43
23,0.7936,random,-200.0,-200.0,-0.42
24,0.7857,argmax,-200.0,-200.0,-0.59
25,0.7778,random,-200.0,-200.0,-0.37
26,0.77,random,-200.0,-200.0,-0.62
27,0.7623,random,-200.0,-200.0,-0.44
28,0.7547,random,-200.0,-200.0,-0.39
29,0.7472,random,-200.0,-200.0,-0.3
30,0.7397,random,-200.0,-200.0,-0.78
31,0.7323,random,-200.0,-200.0,-0.68
32,0.725,random,-200.0,-200.0,-0.63
33,0.7177,random,-200.0,-200.0,-0.46
34,0.7106,argmax,-200.0,-200.0,-0.68
35,0.7034,random,-200.0,-200.0,-0.5
36,0.6964,random,-200.0,-200.0,-0.36
37,0.6894,argmax,-200.0,-200.0,-0.58
38,0.6826,argmax,-200.0,-200.0,-0.38
39,0.6757,argmax,-200.0,-200.0,-0.65
40,0.669,random,-200.0,-200.0,-0.65
41,0.6623,random,-200.0,-200.0,-0.54
42,0.6557,random,-200.0,-200.0,-0.62
43,0.6491,random,-200.0,-200.0,-0.63
44,0.6426,argmax,-200.0,-200.0,-0.47
45,0.6362,random,-200.0,-200.0,-0.51
46,0.6298,random,-200.0,-200.0,-0.8
47,0.6235,random,-200.0,-200.0,-0.3
48,0.6173,random,-200.0,-200.0,-0.64
49,0.6111,argmax,-200.0,-200.0,-0.27
50,0.605,argmax,-200.0,-200.0,-0.58
51,0.599,random,-200.0,-200.0,-0.83
52,0.593,random,-200.0,-200.0,-0.47
53,0.587,argmax,-200.0,-200.0,-0.58
54,0.5812,argmax,-200.0,-200.0,-0.5
55,0.5754,argmax,-200.0,-200.0,-0.95
56,0.5696,random,-200.0,-200.0,-0.92
57,0.5639,random,-200.0,-200.0,-0.62
58,0.5583,argmax,-200.0,-200.0,-0.58
59,0.5527,random,-200.0,-200.0,-0.35
60,0.5472,argmax,-200.0,-200.0,-0.48
61,0.5417,argmax,-200.0,-200.0,-0.12
62,0.5363,argmax,-200.0,-200.0,-0.36
63,0.5309,random,-200.0,-200.0,-0.42
64,0.5256,random,-200.0,-200.0,-0.56
65,0.5203,argmax,-200.0,-200.0,-0.55
66,0.5151,argmax,-200.0,-200.0,-0.56
67,0.51,argmax,-200.0,-200.0,-0.98
68,0.5049,argmax,-200.0,-200.0,-0.42
69,0.4998,argmax,-200.0,-200.0,-0.33
70,0.4948,argmax,-200.0,-200.0,-0.42
71,0.4899,random,-200.0,-200.0,-1.02
72,0.485,argmax,-200.0,-200.0,-0.78
73,0.4801,random,-200.0,-200.0,-0.36
74,0.4753,argmax,-200.0,-200.0,-0.55
75,0.4706,random,-200.0,-200.0,-0.63
