Episode,Epsilon,Action Type,Score,Avg Score,Position
0,1.0,random,-200.0,-200.0,-0.56
1,0.99,random,-200.0,-200.0,-0.57
2,0.9801,random,-200.0,-200.0,-0.55
3,0.9703,random,-200.0,-200.0,-0.56
4,0.9606,random,-200.0,-200.0,-0.71
5,0.951,argmax,-200.0,-200.0,-0.5
6,0.9415,random,-200.0,-200.0,-0.6
7,0.9321,random,-200.0,-200.0,-0.46
8,0.9227,random,-200.0,-200.0,-0.33
9,0.9135,random,-200.0,-200.0,-0.48
10,0.9044,random,-200.0,-200.0,-0.48
11,0.8953,random,-200.0,-200.0,-0.5
12,0.8864,random,-200.0,-200.0,-0.52
13,0.8775,random,-200.0,-200.0,-0.49
14,0.8687,random,-200.0,-200.0,-0.53
15,0.8601,random,-200.0,-200.0,-0.61
16,0.8515,random,-200.0,-200.0,-0.49
17,0.8429,random,-200.0,-200.0,-0.42
18,0.8345,random,-200.0,-200.0,-0.31
19,0.8262,argmax,-200.0,-200.0,-0.57
20,0.8179,random,-200.0,-200.0,-0.47
21,0.8097,random,-200.0,-200.0,-0.7
22,0.8016,random,-200.0,-200.0,-0.26
23,0.7936,argmax,-200.0,-200.0,-0.53
24,0.7857,random,-200.0,-200.0,-0.56
25,0.7778,random,-200.0,-200.0,-0.51
26,0.77,random,-200.0,-200.0,-0.51
27,0.7623,argmax,-200.0,-200.0,-0.56
28,0.7547,random,-200.0,-200.0,-0.37
29,0.7472,random,-200.0,-200.0,-0.45
30,0.7397,random,-200.0,-200.0,-0.44
31,0.7323,random,-200.0,-200.0,-0.58
32,0.725,random,-200.0,-200.0,-0.48
33,0.7177,argmax,-200.0,-200.0,-0.44
34,0.7106,random,-200.0,-200.0,-0.5
35,0.7034,random,-200.0,-200.0,-0.6
36,0.6964,random,-200.0,-200.0,-0.31
37,0.6894,argmax,-200.0,-200.0,-0.53
38,0.6826,random,-200.0,-200.0,-0.5
39,0.6757,random,-200.0,-200.0,-0.73
40,0.669,random,-200.0,-200.0,-0.41
41,0.6623,random,-200.0,-200.0,-0.62
42,0.6557,random,-200.0,-200.0,-0.36
43,0.6491,random,-200.0,-200.0,-0.38
44,0.6426,argmax,-200.0,-200.0,-0.33
45,0.6362,random,-200.0,-200.0,-0.5
46,0.6298,random,-200.0,-200.0,-0.49
47,0.6235,argmax,-200.0,-200.0,-0.49
48,0.6173,argmax,-200.0,-200.0,-0.64
49,0.6111,argmax,-200.0,-200.0,-0.64
50,0.605,argmax,-200.0,-200.0,-0.45
51,0.599,argmax,-200.0,-200.0,-0.49
52,0.593,argmax,-200.0,-200.0,-0.47
53,0.587,argmax,-200.0,-200.0,-0.57
54,0.5812,argmax,-200.0,-200.0,-0.34
55,0.5754,random,-200.0,-200.0,-0.59
56,0.5696,argmax,-200.0,-200.0,-0.29
57,0.5639,random,-200.0,-200.0,-0.61
58,0.5583,random,-200.0,-200.0,-0.62
59,0.5527,random,-200.0,-200.0,-0.37
60,0.5472,random,-200.0,-200.0,-0.59
61,0.5417,random,-200.0,-200.0,-0.54
62,0.5363,random,-200.0,-200.0,-0.57
63,0.5309,argmax,-200.0,-200.0,-0.47
64,0.5256,random,-200.0,-200.0,-0.61
65,0.5203,random,-200.0,-200.0,-0.41
66,0.5151,argmax,-200.0,-200.0,-0.55
67,0.51,argmax,-200.0,-200.0,-0.58
68,0.5049,random,-200.0,-200.0,-0.44
69,0.4998,argmax,-200.0,-200.0,-0.54
70,0.4948,argmax,-200.0,-200.0,-0.41
71,0.4899,random,-200.0,-200.0,-0.64
72,0.485,random,-200.0,-200.0,-0.33
73,0.4801,argmax,-200.0,-200.0,-0.83
74,0.4753,argmax,-200.0,-200.0,-0.36
75,0.4706,random,-200.0,-200.0,-0.28
76,0.4659,argmax,-200.0,-200.0,-0.43
77,0.4612,argmax,-200.0,-200.0,-0.13
78,0.4566,argmax,-200.0,-200.0,-0.51
79,0.452,random,-200.0,-200.0,-0.44
80,0.4475,argmax,-200.0,-200.0,-0.63
81,0.443,argmax,-200.0,-200.0,-0.62
82,0.4386,argmax,-200.0,-200.0,-0.57
83,0.4342,random,-200.0,-200.0,-0.31
84,0.4299,argmax,-200.0,-200.0,-0.6
85,0.4256,random,-200.0,-200.0,-0.58
86,0.4213,argmax,-200.0,-200.0,-0.49
87,0.4171,argmax,-200.0,-200.0,-0.35
88,0.4129,argmax,-200.0,-200.0,-0.61
89,0.4088,random,-200.0,-200.0,-0.43
90,0.4047,random,-200.0,-200.0,-0.47
91,0.4007,argmax,-200.0,-200.0,-0.52
92,0.3967,random,-200.0,-200.0,-0.7
93,0.3927,argmax,-200.0,-200.0,-0.64
94,0.3888,argmax,-200.0,-200.0,-0.65
95,0.3849,random,-200.0,-200.0,-0.4
96,0.381,random,-200.0,-200.0,-0.7
97,0.3772,argmax,-200.0,-200.0,-0.36
98,0.3735,argmax,-200.0,-200.0,-0.35
99,0.3697,argmax,-200.0,-200.0,-0.58
100,0.366,random,-200.0,-200.0,-0.44
101,0.3624,random,-200.0,-200.0,-0.48
102,0.3587,argmax,-200.0,-200.0,-0.83
103,0.3552,argmax,-200.0,-200.0,-0.66
104,0.3516,argmax,-200.0,-200.0,-0.48
105,0.3481,argmax,-200.0,-200.0,-0.68
106,0.3446,argmax,-200.0,-200.0,-0.59
107,0.3412,argmax,-200.0,-200.0,-0.17
108,0.3378,argmax,-200.0,-200.0,-0.52
109,0.3344,argmax,-200.0,-200.0,-0.73
110,0.331,argmax,-200.0,-200.0,-1.07
111,0.3277,random,-200.0,-200.0,-0.41
112,0.3244,argmax,-200.0,-200.0,-0.73
113,0.3212,random,-200.0,-200.0,-0.49
114,0.318,argmax,-200.0,-200.0,-0.98
115,0.3148,argmax,-200.0,-200.0,-0.25
116,0.3117,argmax,-200.0,-200.0,-1.18
117,0.3085,argmax,-200.0,-200.0,-0.54
118,0.3055,random,-200.0,-200.0,-0.42
119,0.3024,argmax,-200.0,-200.0,-0.51
120,0.2994,argmax,-200.0,-200.0,-0.65
121,0.2964,random,-200.0,-200.0,0.03
122,0.2934,argmax,-200.0,-200.0,-0.92
123,0.2905,argmax,-200.0,-200.0,-0.66
124,0.2876,random,-200.0,-200.0,-0.66
125,0.2847,random,-200.0,-200.0,-0.64
126,0.2819,random,-200.0,-200.0,-0.98
127,0.279,argmax,-200.0,-200.0,-0.76
128,0.2763,random,-200.0,-200.0,-0.87
129,0.2735,argmax,-200.0,-200.0,-0.47
130,0.2708,argmax,-200.0,-200.0,-0.38
131,0.268,argmax,-200.0,-200.0,-0.82
132,0.2654,argmax,-200.0,-200.0,-1.01
133,0.2627,random,-200.0,-200.0,-0.04
134,0.2601,random,-200.0,-200.0,-0.51
135,0.2575,argmax,-200.0,-200.0,-0.75
136,0.2549,argmax,-200.0,-200.0,-0.43
137,0.2524,argmax,-200.0,-200.0,-0.84
138,0.2498,argmax,-200.0,-200.0,-0.33
139,0.2473,argmax,-200.0,-200.0,-0.84
140,0.2449,argmax,-200.0,-200.0,-0.51
141,0.2424,argmax,-200.0,-200.0,-0.65
142,0.24,argmax,-200.0,-200.0,-1.1
143,0.2376,argmax,-200.0,-200.0,-0.25
144,0.2352,random,-200.0,-200.0,-0.48
145,0.2329,random,-200.0,-200.0,-0.88
146,0.2305,random,-200.0,-200.0,-1.16
147,0.2282,argmax,-200.0,-200.0,-0.45
148,0.2259,random,-200.0,-200.0,-0.2
149,0.2237,random,-200.0,-200.0,-0.39
150,0.2215,argmax,-200.0,-200.0,-0.77
151,0.2192,random,-200.0,-200.0,-0.74
152,0.217,argmax,-200.0,-200.0,-0.63
153,0.2149,argmax,-200.0,-200.0,-0.72
154,0.2127,argmax,-200.0,-200.0,-0.63
155,0.2106,argmax,-200.0,-200.0,-0.63
156,0.2085,argmax,-200.0,-200.0,-0.49
157,0.2064,argmax,-200.0,-200.0,-0.64
158,0.2043,argmax,-200.0,-200.0,-0.36
159,0.2023,argmax,-200.0,-200.0,-0.53
160,0.2003,argmax,-200.0,-200.0,-1.17
161,0.1983,random,-200.0,-200.0,-0.66
162,0.1963,argmax,-200.0,-200.0,-0.71
163,0.1943,argmax,-200.0,-200.0,-0.6
164,0.1924,argmax,-200.0,-200.0,-0.68
165,0.1905,argmax,-200.0,-200.0,-0.76
166,0.1886,argmax,-200.0,-200.0,-1.08
167,0.1867,argmax,-200.0,-200.0,-0.81
168,0.1848,argmax,-200.0,-200.0,-0.6
169,0.183,random,-200.0,-200.0,-0.72
170,0.1811,argmax,-200.0,-200.0,-0.77
171,0.1793,argmax,-200.0,-200.0,-0.28
172,0.1775,argmax,-200.0,-200.0,-0.44
173,0.1757,argmax,-200.0,-200.0,-0.8
174,0.174,argmax,-200.0,-200.0,-0.7
175,0.1722,argmax,-200.0,-200.0,-0.61
176,0.1705,argmax,-200.0,-200.0,-0.54
177,0.1688,argmax,-200.0,-200.0,-0.83
178,0.1671,argmax,-200.0,-200.0,-1.05
179,0.1655,random,-200.0,-200.0,-0.37
180,0.1638,argmax,-200.0,-200.0,-0.39
181,0.1622,argmax,-200.0,-200.0,-0.68
182,0.1605,argmax,-200.0,-200.0,-0.77
183,0.1589,random,-200.0,-200.0,-0.45
184,0.1574,random,-200.0,-200.0,-0.66
185,0.1558,argmax,-200.0,-200.0,-1.12
186,0.1542,argmax,-200.0,-200.0,0.02
187,0.1527,argmax,-200.0,-200.0,-0.73
188,0.1512,argmax,-200.0,-200.0,0.01
189,0.1496,argmax,-200.0,-200.0,-0.94
190,0.1481,argmax,-200.0,-200.0,-1.15
191,0.1467,argmax,-200.0,-200.0,-0.34
192,0.1452,argmax,-200.0,-200.0,-0.56
193,0.1437,argmax,-200.0,-200.0,-0.78
194,0.1423,argmax,-200.0,-200.0,-0.96
195,0.1409,argmax,-200.0,-200.0,-0.53
196,0.1395,random,-200.0,-200.0,-0.69
197,0.1381,argmax,-200.0,-200.0,-1.15
198,0.1367,argmax,-200.0,-200.0,-0.34
199,0.1353,argmax,-200.0,-200.0,-0.29
200,0.134,argmax,-200.0,-200.0,-0.44
201,0.1326,argmax,-200.0,-200.0,-0.49
202,0.1313,argmax,-200.0,-200.0,-1.0
203,0.13,argmax,-200.0,-200.0,-0.66
204,0.1287,argmax,-200.0,-200.0,-0.54
205,0.1274,argmax,-200.0,-200.0,-0.33
206,0.1261,argmax,-200.0,-200.0,-0.32
207,0.1249,argmax,-200.0,-200.0,-0.33
208,0.1236,argmax,-200.0,-200.0,-0.67
209,0.1224,random,-200.0,-200.0,-0.81
210,0.1212,argmax,-200.0,-200.0,-0.74
211,0.12,argmax,-200.0,-200.0,-0.64
212,0.1188,random,-200.0,-200.0,-0.24
213,0.1176,argmax,-200.0,-200.0,-0.71
214,0.1164,argmax,-200.0,-200.0,-0.52
215,0.1152,argmax,-200.0,-200.0,-0.06
216,0.1141,argmax,-200.0,-200.0,-0.84
217,0.1129,argmax,-200.0,-200.0,-0.64
218,0.1118,argmax,-200.0,-200.0,-0.56
219,0.1107,argmax,-200.0,-200.0,-0.32
220,0.1096,random,-200.0,-200.0,-0.62
221,0.1085,argmax,-200.0,-200.0,-0.52
222,0.1074,argmax,-200.0,-200.0,-0.79
223,0.1063,argmax,-200.0,-200.0,-0.67
224,0.1053,random,-200.0,-200.0,-0.2
225,0.1042,argmax,-200.0,-200.0,-0.48
226,0.1032,random,-200.0,-200.0,-0.51
227,0.1021,argmax,-200.0,-200.0,-0.55
228,0.1011,random,-200.0,-200.0,-0.83
229,0.1001,argmax,-200.0,-200.0,-0.73
230,0.0991,argmax,-200.0,-200.0,-0.5
231,0.0981,argmax,-200.0,-200.0,-0.32
232,0.0971,argmax,-200.0,-200.0,-0.5
233,0.0962,random,-200.0,-200.0,-0.37
234,0.0952,argmax,-200.0,-200.0,-0.87
235,0.0942,random,-200.0,-200.0,-0.42
236,0.0933,argmax,-200.0,-200.0,-0.39
237,0.0924,argmax,-200.0,-200.0,-0.5
238,0.0914,random,-200.0,-200.0,-1.15
239,0.0905,argmax,-200.0,-200.0,-0.47
240,0.0896,argmax,-200.0,-200.0,-0.3
241,0.0887,argmax,-200.0,-200.0,-1.2
242,0.0878,argmax,-200.0,-200.0,-0.21
243,0.087,argmax,-200.0,-200.0,-0.61
244,0.0861,argmax,-200.0,-200.0,-0.4
245,0.0852,random,-200.0,-200.0,-0.46
246,0.0844,argmax,-200.0,-200.0,-0.73
247,0.0835,argmax,-200.0,-200.0,-0.5
248,0.0827,argmax,-200.0,-200.0,-0.11
249,0.0819,argmax,-200.0,-200.0,0.2
250,0.0811,argmax,-200.0,-200.0,-0.93
251,0.0802,argmax,-200.0,-200.0,-0.65
252,0.0794,random,-200.0,-200.0,-0.51
253,0.0787,argmax,-200.0,-200.0,-0.35
254,0.0779,argmax,-200.0,-200.0,-0.38
255,0.0771,argmax,-200.0,-200.0,-0.62
256,0.0763,argmax,-200.0,-200.0,-0.74
257,0.0756,argmax,-200.0,-200.0,-0.17
258,0.0748,argmax,-200.0,-200.0,-0.89
259,0.074,argmax,-200.0,-200.0,-0.33
260,0.0733,argmax,-200.0,-200.0,-0.36
261,0.0726,argmax,-200.0,-200.0,-0.29
262,0.0718,argmax,-200.0,-200.0,-0.29
263,0.0711,argmax,-200.0,-200.0,-0.51
264,0.0704,argmax,-200.0,-200.0,-0.36
265,0.0697,random,-200.0,-200.0,-0.45
266,0.069,argmax,-200.0,-200.0,-0.73
267,0.0683,random,-200.0,-200.0,-0.54
268,0.0676,argmax,-200.0,-200.0,-0.69
269,0.067,argmax,-200.0,-200.0,-0.54
270,0.0663,random,-200.0,-200.0,-0.87
271,0.0656,argmax,-200.0,-200.0,-0.57
272,0.065,argmax,-200.0,-200.0,-0.51
273,0.0643,argmax,-200.0,-200.0,-0.66
274,0.0637,argmax,-200.0,-200.0,-0.7
275,0.063,argmax,-200.0,-200.0,-0.77
276,0.0624,argmax,-200.0,-200.0,-0.44
277,0.0618,random,-200.0,-200.0,-0.51
278,0.0612,argmax,-200.0,-200.0,-0.29
279,0.0606,argmax,-200.0,-200.0,-0.37
280,0.06,argmax,-200.0,-200.0,-0.46
281,0.0594,argmax,-200.0,-200.0,-0.6
282,0.0588,argmax,-200.0,-200.0,-0.29
283,0.0582,argmax,-200.0,-200.0,-0.62
284,0.0576,argmax,-200.0,-200.0,-0.7
285,0.057,argmax,-200.0,-200.0,-0.48
286,0.0565,argmax,-200.0,-200.0,-0.3
287,0.0559,argmax,-200.0,-200.0,-0.61
288,0.0553,argmax,-200.0,-200.0,-0.32
289,0.0548,argmax,-200.0,-200.0,-0.62
290,0.0542,argmax,-200.0,-200.0,-0.52
291,0.0537,argmax,-200.0,-200.0,-0.7
292,0.0531,random,-200.0,-200.0,-0.15
293,0.0526,argmax,-200.0,-200.0,-0.9
294,0.0521,argmax,-200.0,-200.0,-0.37
295,0.0516,argmax,-200.0,-200.0,-0.4
296,0.0511,argmax,-200.0,-200.0,-0.48
297,0.0505,argmax,-200.0,-200.0,-0.25
298,0.05,argmax,-200.0,-200.0,-0.22
299,0.0495,argmax,-200.0,-200.0,-0.46
300,0.049,argmax,-200.0,-200.0,-0.56
301,0.0486,argmax,-200.0,-200.0,-0.53
302,0.0481,argmax,-200.0,-200.0,-0.71
303,0.0476,argmax,-200.0,-200.0,-0.93
304,0.0471,argmax,-200.0,-200.0,-0.86
305,0.0466,argmax,-200.0,-200.0,-0.56
306,0.0462,argmax,-200.0,-200.0,-0.53
307,0.0457,argmax,-200.0,-200.0,-0.99
308,0.0453,argmax,-200.0,-200.0,-0.49
309,0.0448,argmax,-200.0,-200.0,-0.67
310,0.0444,argmax,-200.0,-200.0,-0.34
311,0.0439,random,-200.0,-200.0,-0.32
312,0.0435,argmax,-200.0,-200.0,-0.71
313,0.043,argmax,-200.0,-200.0,-0.58
314,0.0426,argmax,-200.0,-200.0,-0.34
315,0.0422,argmax,-200.0,-200.0,-0.61
316,0.0418,argmax,-200.0,-200.0,-0.72
317,0.0413,argmax,-200.0,-200.0,-0.49
318,0.0409,argmax,-200.0,-200.0,-0.49
319,0.0405,argmax,-200.0,-200.0,-0.12
320,0.0401,argmax,-200.0,-200.0,-0.51
321,0.0397,argmax,-200.0,-200.0,-0.45
322,0.0393,argmax,-200.0,-200.0,-0.89
323,0.0389,argmax,-200.0,-200.0,-0.64
324,0.0385,argmax,-200.0,-200.0,-0.68
325,0.0381,argmax,-200.0,-200.0,-0.79
326,0.0378,argmax,-200.0,-200.0,-0.38
327,0.0374,argmax,-200.0,-200.0,-0.15
328,0.037,argmax,-200.0,-200.0,-1.17
329,0.0366,argmax,-200.0,-200.0,-0.2
330,0.0363,argmax,-200.0,-200.0,-0.79
331,0.0359,argmax,-200.0,-200.0,-0.52
332,0.0356,argmax,-200.0,-200.0,-0.83
333,0.0352,argmax,-200.0,-200.0,-0.3
334,0.0348,argmax,-200.0,-200.0,-0.45
335,0.0345,argmax,-200.0,-200.0,-0.09
336,0.0342,argmax,-200.0,-200.0,-0.67
337,0.0338,argmax,-200.0,-200.0,-0.32
338,0.0335,argmax,-200.0,-200.0,-0.26
339,0.0331,argmax,-200.0,-200.0,-1.12
340,0.0328,argmax,-200.0,-200.0,-0.84
341,0.0325,argmax,-200.0,-200.0,-0.43
342,0.0322,argmax,-200.0,-200.0,-0.79
343,0.0318,argmax,-200.0,-200.0,-0.51
344,0.0315,argmax,-200.0,-200.0,-0.26
345,0.0312,random,-200.0,-200.0,0.19
346,0.0309,argmax,-200.0,-200.0,-0.55
347,0.0306,argmax,-200.0,-200.0,0.13
348,0.0303,argmax,-200.0,-200.0,0.02
349,0.03,random,-200.0,-200.0,-0.43
350,0.0297,argmax,-200.0,-200.0,-0.55
351,0.0294,argmax,-200.0,-200.0,-0.31
352,0.0291,argmax,-200.0,-200.0,-1.11
353,0.0288,argmax,-200.0,-200.0,-0.18
354,0.0285,argmax,-200.0,-200.0,-0.12
355,0.0282,argmax,-200.0,-200.0,-0.57
356,0.0279,argmax,-200.0,-200.0,-1.18
357,0.0277,argmax,-200.0,-200.0,-0.28
358,0.0274,argmax,-200.0,-200.0,-0.34
359,0.0271,argmax,-200.0,-200.0,-0.5
360,0.0268,argmax,-200.0,-200.0,-0.7
361,0.0266,argmax,-200.0,-200.0,-1.02
362,0.0263,argmax,-200.0,-200.0,-0.4
363,0.026,argmax,-200.0,-200.0,-0.3
364,0.0258,argmax,-200.0,-200.0,0.08
365,0.0255,argmax,-200.0,-200.0,-0.52
366,0.0253,argmax,-200.0,-200.0,0.02
367,0.025,argmax,-200.0,-200.0,-0.74
368,0.0248,argmax,-200.0,-200.0,-0.12
369,0.0245,argmax,-200.0,-200.0,0.17
370,0.0243,argmax,-200.0,-200.0,-0.41
371,0.024,argmax,-200.0,-200.0,-1.09
372,0.0238,argmax,-200.0,-200.0,0.13
373,0.0235,argmax,-200.0,-200.0,-0.56
374,0.0233,argmax,-200.0,-200.0,-0.96
375,0.0231,argmax,-200.0,-200.0,-0.43
376,0.0228,argmax,-200.0,-200.0,-0.68
377,0.0226,argmax,-200.0,-200.0,0.23
378,0.0224,argmax,-200.0,-200.0,-1.12
379,0.0222,argmax,-200.0,-200.0,-1.15
380,0.0219,argmax,-200.0,-200.0,-0.31
381,0.0217,argmax,-200.0,-200.0,-0.59
382,0.0215,argmax,-200.0,-200.0,-0.51
383,0.0213,argmax,-200.0,-200.0,-0.42
384,0.0211,argmax,-200.0,-200.0,-0.69
385,0.0209,argmax,-200.0,-200.0,-1.15
386,0.0207,argmax,-200.0,-200.0,-0.66
387,0.0205,argmax,-200.0,-200.0,-0.88
388,0.0203,argmax,-200.0,-200.0,-0.56
389,0.02,argmax,-200.0,-200.0,-0.17
390,0.0198,argmax,-200.0,-200.0,-0.35
391,0.0196,argmax,-200.0,-200.0,-0.52
392,0.0195,argmax,-200.0,-200.0,-0.31
393,0.0193,argmax,-200.0,-200.0,-0.37
394,0.0191,random,-200.0,-200.0,-0.8
395,0.0189,argmax,-200.0,-200.0,-0.3
396,0.0187,argmax,-200.0,-200.0,-0.56
397,0.0185,argmax,-200.0,-200.0,-0.65
398,0.0183,argmax,-200.0,-200.0,-0.42
399,0.0181,argmax,-200.0,-200.0,-0.56
400,0.018,argmax,-200.0,-200.0,-0.51
401,0.0178,argmax,-200.0,-200.0,-0.55
402,0.0176,argmax,-200.0,-200.0,-0.47
403,0.0174,argmax,-200.0,-200.0,-0.43
404,0.0172,argmax,-200.0,-200.0,-0.29
405,0.0171,argmax,-200.0,-200.0,-0.32
406,0.0169,argmax,-200.0,-200.0,-0.52
407,0.0167,argmax,-200.0,-200.0,-0.52
408,0.0166,argmax,-200.0,-200.0,-0.52
409,0.0164,argmax,-200.0,-200.0,-1.05
410,0.0162,argmax,-200.0,-200.0,-0.96
411,0.0161,argmax,-200.0,-200.0,-0.7
412,0.0159,argmax,-200.0,-200.0,-0.78
413,0.0158,argmax,-200.0,-200.0,-0.22
414,0.0156,argmax,-200.0,-200.0,-0.85
415,0.0154,argmax,-200.0,-200.0,-0.52
416,0.0153,argmax,-200.0,-200.0,0.01
417,0.0151,argmax,-200.0,-200.0,-0.64
418,0.015,argmax,-200.0,-200.0,-0.93
419,0.0148,argmax,-200.0,-200.0,-0.3
420,0.0147,argmax,-200.0,-200.0,-1.04
421,0.0145,argmax,-200.0,-200.0,0.19
422,0.0144,argmax,-200.0,-200.0,-0.53
423,0.0142,argmax,-200.0,-200.0,-0.8
424,0.0141,argmax,-200.0,-200.0,-0.12
425,0.014,argmax,-200.0,-200.0,-0.66
426,0.0138,argmax,-200.0,-200.0,-0.57
427,0.0137,argmax,-200.0,-200.0,-0.82
428,0.0135,argmax,-200.0,-200.0,0.06
429,0.0134,argmax,-200.0,-200.0,-1.17
430,0.0133,argmax,-200.0,-200.0,-0.94
431,0.0131,argmax,-200.0,-200.0,-0.79
432,0.013,argmax,-200.0,-200.0,-0.04
433,0.0129,argmax,-200.0,-200.0,0.11
434,0.0128,argmax,-200.0,-200.0,-0.62
435,0.0126,argmax,-200.0,-200.0,-0.48
436,0.0125,argmax,-200.0,-200.0,0.03
437,0.0124,argmax,-200.0,-200.0,-0.63
438,0.0123,argmax,-86.0,-198.86,0.54
439,0.0121,argmax,-200.0,-198.86,-0.63
440,0.012,argmax,-200.0,-198.86,0.33
441,0.0119,argmax,-200.0,-198.86,0.18
442,0.0118,argmax,-200.0,-198.86,-0.93
443,0.0117,argmax,-200.0,-198.86,-1.01
444,0.0115,argmax,-200.0,-198.86,-0.71
445,0.0114,argmax,-200.0,-198.86,-0.49
446,0.0113,argmax,-200.0,-198.86,-0.29
447,0.0112,argmax,-200.0,-198.86,0.49
448,0.0111,argmax,-200.0,-198.86,-0.78
449,0.011,argmax,-200.0,-198.86,-0.66
450,0.0109,argmax,-200.0,-198.86,0.17
451,0.0108,argmax,-200.0,-198.86,0.2
452,0.0106,argmax,-200.0,-198.86,0.4
453,0.0105,argmax,-200.0,-198.86,-0.48
454,0.0104,argmax,-200.0,-198.86,-1.04
455,0.0103,argmax,-200.0,-198.86,0.07
456,0.0102,argmax,-200.0,-198.86,-0.0
457,0.0101,argmax,-200.0,-198.86,-0.65
458,0.01,argmax,-200.0,-198.86,-0.72
459,0.01,argmax,-55.0,-197.41,0.5
460,0.01,argmax,-200.0,-197.41,-0.7
461,0.01,argmax,-200.0,-197.41,-1.15
462,0.01,argmax,-200.0,-197.41,-0.39
463,0.01,argmax,-200.0,-197.41,-0.27
464,0.01,argmax,-200.0,-197.41,-0.9
465,0.01,argmax,-200.0,-197.41,-0.59
466,0.01,argmax,-200.0,-197.41,-0.46
467,0.01,argmax,-200.0,-197.41,-0.86
468,0.01,argmax,-200.0,-197.41,-0.2
469,0.01,argmax,-200.0,-197.41,-1.17
470,0.01,argmax,-66.0,-196.07,0.51
471,0.01,argmax,-200.0,-196.07,-0.14
472,0.01,argmax,-200.0,-196.07,-1.12
473,0.01,argmax,-200.0,-196.07,-0.27
474,0.01,argmax,-200.0,-196.07,-0.17
475,0.01,argmax,-76.0,-194.83,0.52
476,0.01,argmax,-21.0,-193.04,0.51
477,0.01,argmax,-200.0,-193.04,-0.75
478,0.01,argmax,-200.0,-193.04,-1.19
479,0.01,argmax,-200.0,-193.04,-0.22
480,0.01,argmax,-200.0,-193.04,-1.16
481,0.01,argmax,-200.0,-193.04,-1.08
482,0.01,argmax,-200.0,-193.04,-0.57
483,0.01,argmax,-200.0,-193.04,-1.15
484,0.01,argmax,-200.0,-193.04,-1.09
485,0.01,argmax,-200.0,-193.04,-0.22
486,0.01,argmax,-200.0,-193.04,-1.07
487,0.01,argmax,-200.0,-193.04,-1.14
488,0.01,argmax,-200.0,-193.04,-0.2
489,0.01,argmax,-200.0,-193.04,-0.11
490,0.01,argmax,-200.0,-193.04,-0.78
491,0.01,argmax,-200.0,-193.04,-0.57
492,0.01,argmax,-200.0,-193.04,-0.25
493,0.01,argmax,-200.0,-193.04,-0.61
494,0.01,argmax,-200.0,-193.04,-1.2
495,0.01,argmax,-200.0,-193.04,-0.32
496,0.01,argmax,-200.0,-193.04,0.02
497,0.01,argmax,-200.0,-193.04,-1.2
498,0.01,argmax,-29.0,-191.33,0.5
499,0.01,argmax,-200.0,-191.33,-0.51
500,0.01,argmax,-200.0,-191.33,-0.34
501,0.01,argmax,-53.0,-189.86,0.51
502,0.01,argmax,-200.0,-189.86,-0.37
